Item Name,HSN Code,Price,GST Rate %,Qty Unit,Stock Qty,Description
Wireless Mouse,8471,899.00,18,Nos,45,Ergonomic wireless mouse with USB receiver
Laptop Stand,8302,1599.00,12,Pcs,23,Adjustable aluminum laptop stand
USB Cable Type-C,8544,299.00,18,Nos,120,1.5m Type-C charging cable
Bluetooth Speaker,8518,2499.00,18,Nos,15,Portable waterproof speaker
Keyboard Cover,3926,199.00,12,Pcs,67,Silicone keyboard protector
HDMI Cable 2m,8544,399.00,18,Nos,89,High-speed HDMI 2.0 cable
Monitor Screen Guard,7009,599.00,18,Nos,34,Anti-glare 24-inch screen protector
Phone Case,3926,349.00,12,Pcs,156,Shockproof TPU phone case
Power Bank 10000mAh,8507,1299.00,18,Nos,42,Fast charging power bank
Webcam HD,8525,2199.00,18,Nos,28,1080p HD webcam with microphone
