Item Name,HSN Code,Price,GST Rate %,Qty Unit,Stock Qty,Description
English Textbook,4901,250.00,0,Nos,150,Educational book - GST exempt
Sanskrit Dictionary,4901,450.00,0,Nos,80,Religious and educational book
Coffee Powder 500g,0901,180.00,5,Pack,200,Premium filter coffee powder
Green Tea Bags,0902,120.00,5,Box,300,Organic green tea 25 bags
Frozen Pizza,1905,220.00,12,Nos,45,Ready to bake frozen pizza
Ayurvedic Capsules,3003,350.00,12,Bottle,120,Herbal immunity booster
LED TV 32 inch,8528,18999.00,18,Nos,25,Smart LED TV with WiFi
Face Cream 50g,3304,450.00,18,Nos,180,Anti-aging face cream
Luxury Watch,9102,45000.00,28,Nos,12,Premium Swiss movement watch
Motorcycle 150cc,8711,85000.00,28,Nos,8,Sports motorcycle 150cc engine
