Item Name,HSN Code,Price,GST Rate %,Qty Unit,Stock Qty,Description
Laptop 💻 Core i5,8471,45000.00,18,Nos,12,Gaming laptop with dedicated graphics
नोटबुक हिंदी,4820,55.00,12,Nos,200,Hindi ruled notebook 200 pages
புத்தகம் தமிழ்,4820,60.00,12,Nos,150,Tamil notebook for students
Pen (Blue) - Premium,9608,25.00,12,Pcs,500,Smooth writing blue ink pen
Stapler - Heavy Duty,8205,150.00,18,Nos,80,Metal stapler for 50 sheets
Price Tag ₹ Stickers,4821,35.00,12,Roll,100,Self-adhesive price stickers
Café Table & Chairs,9403,8500.00,18,Set,15,Wooden café furniture set
Naïve Art Painting,9701,12000.00,12,Nos,5,Original naïve style artwork
USB Cable (Type-C),8544,299.00,18,Nos,300,1.5m fast charging cable
Coffee Beans "Premium",0901,650.00,5,Kg,50,Arabica coffee beans roasted
