Item Name,HSN Code,Price,GST Rate %,Qty Unit,Stock Qty,Description
Laptop Dell Inspiron,8471,55000.00,18,Nos,25,Core i5 8GB RAM 512GB SSD
Desktop Computer HP,8471,45000.00,18,Nos,18,Core i5 desktop with monitor
Wireless Mouse Logitech,8471,899.00,18,Nos,120,Ergonomic wireless mouse
Keyboard Mechanical,8471,2499.00,18,Nos,45,RGB mechanical gaming keyboard
Monitor Samsung 27,8528,18999.00,18,Nos,30,4K UHD monitor 27 inch
Printer Canon Inkjet,8443,8500.00,18,Nos,22,All-in-one inkjet printer
External HDD 2TB,8471,6500.00,18,Nos,60,Portable external hard drive
Webcam Logitech HD,8525,3199.00,18,Nos,40,1080p HD webcam
Office Chair Ergonomic,9401,8500.00,18,Nos,35,Adjustable office chair with lumbar support
Office Desk 5ft,9403,12000.00,18,Nos,20,Wooden office desk with drawers
LED Desk Lamp,9405,1299.00,18,Nos,80,Adjustable LED lamp with USB port
Whiteboard 4x3 ft,9610,2500.00,18,Nos,25,Magnetic dry erase whiteboard
File Cabinet 4 Drawer,9403,15000.00,18,Nos,12,Steel file cabinet with lock
Notebook A4 Ruled,4820,45.00,12,Nos,500,200 pages ruled notebook
Pen Ballpoint Blue,9608,10.00,12,Pcs,2000,Smooth writing blue ink pen
Pencil HB Pack of 10,9609,35.00,12,Box,300,HB grade pencils box
Eraser White Large,4016,5.00,12,Nos,800,Large white rubber eraser
Sharpener Metal,8214,8.00,12,Nos,500,Metal pencil sharpener
Stapler Standard,8205,89.00,18,Nos,150,Standard stapler with staples
Paper Clips 100pcs,7326,15.00,12,Box,400,Steel paper clips box
Glue Stick 20g,3506,18.00,12,Pcs,600,Non-toxic glue stick
Scissors 8 inch,8213,45.00,12,Nos,200,Stainless steel scissors
Tape Dispenser,8205,75.00,18,Nos,100,Desktop tape dispenser
Calculator Scientific,8470,349.00,18,Nos,120,12-digit scientific calculator
Marker Permanent Black,9608,35.00,12,Nos,400,Waterproof permanent marker
Highlighter Set 6 Colors,9608,120.00,18,Set,150,Fluorescent highlighter set
Sticky Notes 3x3,4821,65.00,18,Pack,250,Self-stick notes 100 sheets
Folder Plastic A4,3926,25.00,12,Nos,600,Transparent plastic folder
Binder Clips Assorted,7326,55.00,12,Box,300,Assorted size binder clips
Correction Fluid,3214,28.00,18,Bottle,350,Quick-dry correction fluid
Paper A4 Ream 500,4802,280.00,12,Ream,200,80 GSM copier paper ream
Envelope C4 Pack,4817,120.00,12,Pack,180,White envelope pack of 50
Stamp Pad Blue,9617,45.00,18,Nos,150,Blue ink stamp pad
Punching Machine,8205,199.00,18,Nos,80,2-hole paper punch machine
Dustbin Plastic 10L,3924,150.00,18,Nos,100,Plastic waste bin with lid
Coffee Mug Ceramic,6912,89.00,18,Nos,200,Ceramic coffee mug 300ml
Water Bottle 1L,3923,120.00,18,Nos,180,Stainless steel water bottle
Tissue Box 100pcs,4818,45.00,18,Box,300,Facial tissue box 100 sheets
Hand Sanitizer 500ml,3401,150.00,18,Bottle,250,Alcohol-based hand sanitizer
Mask Surgical 50pcs,6307,250.00,12,Box,200,3-ply surgical face masks
Floor Mat Rubber,3918,450.00,18,Nos,60,Anti-slip rubber floor mat
Extension Cord 4 Socket,8544,299.00,18,Nos,120,4-socket extension with switch
USB Cable Type-C,8544,199.00,18,Nos,400,1.5m fast charging cable
Phone Charger 18W,8504,399.00,18,Nos,250,Fast phone charger 18W
Earphones Wired,8518,249.00,18,Nos,300,Wired earphones with mic
Bluetooth Speaker,8518,2499.00,18,Nos,60,Portable Bluetooth speaker
Power Bank 10000mAh,8507,1299.00,18,Nos,150,Fast charging power bank
Mouse Pad Large,3926,150.00,12,Nos,200,Extended gaming mouse pad
Cable Organizer,3926,99.00,12,Nos,180,Desktop cable management clips
Laptop Stand Aluminum,8302,1599.00,12,Nos,90,Adjustable laptop stand
