Business Name,Phone,Email,GSTIN,PAN,State,District,Address
Tech Solutions Pvt Ltd,9876543210,contact@techsolutions.com,27AABCT1234F1Z5,AABCT1234F,Maharashtra,Mumbai,"123 Park Street, Andheri West, Mumbai 400058"
Global Traders,9988776655,sales@globaltraders.in,29AACGB5678C1ZN,AACGB5678C,Karnataka,Bangalore,"456 MG Road, Bangalore 560001"
Retail Hub,8877665544,info@retailhub.com,33AADHR8901M1ZP,AADHR8901M,Tamil Nadu,Chennai,"789 Anna Salai, Chennai 600002"
Express Logistics,9876501234,contact@expresslog.in,06AABCE4321A1Z8,AABCE4321A,Haryana,Gurgaon,"Plot 45, Sector 18, Gurgaon 122001"
Premium Wholesale,9123456789,wholesale@premium.com,09AAFCP6789B1ZR,AAFCP6789B,Uttar Pradesh,Noida,"B-23 Sector 62, Noida 201301"
Smart Enterprises,8765432109,info@smartent.in,24AAKCS2345D1Z4,AAKCS2345D,Gujarat,Ahmedabad,"12 CG Road, Ahmedabad 380009"
Modern Supplies,9988112233,contact@modernsupply.com,19AABCM5678E1ZT,AABCM5678E,West Bengal,Kolkata,"67 Park Street, Kolkata 700016"
Digital Store,9876123456,sales@digitalstore.in,07AACDS9012F1ZW,AACDS9012F,Delhi,New Delhi,"45 Connaught Place, New Delhi 110001"
Quality Imports,8899001122,import@quality.com,36AADQI3456G1ZY,AADQI3456G,Telangana,Hyderabad,"89 Banjara Hills, Hyderabad 500034"
Regional Distributors,9765432108,regional@distribs.in,27AAERD7890H1ZV,AAERD7890H,Maharashtra,Pune,"234 FC Road, Pune 411004"
